Route,2016,2017,2018,2019,2020
B1,"19,828","18,987","18,180","18,838","9,918"
B2,"2,464","2,216","2,088","2,174",969
B3,"11,803","11,544","11,309","11,554","7,062"
B4,"6,195","6,207","6,192","6,069","2,159"
B6,"41,320","40,135","35,963","34,062","20,631"
B7,"6,066","5,814","5,091","4,920","3,030"
B8,"19,616","18,981","18,388","18,036","6,767"
B9,"14,404","14,495","14,416","13,857","4,928"
B11,"11,273","10,471","10,377","10,488","4,146"
B12,"15,380","13,604","12,124","11,542","7,956"
B13,"6,290","6,193","6,084","6,259","4,220"
B14,"7,243","6,577","5,900","5,442","3,601"
B15,"22,282","19,827","17,977","16,510","11,388"
B16,"6,739","6,760","6,184","6,150","2,154"
B17,"11,279","10,403","9,382","9,527","6,154"
B20,"7,042","6,765","6,315","6,008","3,917"
B24,"2,390","2,293","2,449","2,563","1,709"
B25,"10,048","8,880","7,874","7,631","5,256"
B26,"9,723","9,011","8,234","8,038","5,081"
B31,"2,753","2,721","2,619","2,671","1,260"
B32,819,849,820,904,470
B35,"31,886","29,899","27,273","24,887","17,811"
B36,"14,026","13,108","12,305","11,795","7,401"
B37,"2,380","2,558","2,300","2,196",835
B38,"19,099","18,828","18,011","16,660","6,054"
B39,260,239,220,218,287
B41,"27,082","24,970","22,967","22,553","15,934"
B42,"4,186","3,885","3,546","3,010","1,839"
B43,"10,540","9,832","9,346","9,196","3,292"
B44Lcl/SBS,"37,418","34,877","32,334","31,375","20,445"
B45,"6,019","5,510","4,973","4,846","3,315"
B46Lcl/SBS,"43,463","41,786","38,120","36,375","22,696"
B47,"10,436","9,495","9,252","9,017","5,821"
B48,"3,851","3,683","3,534","3,406","2,100"
B49,"12,452","11,674","10,886","10,653","7,427"
B52,"12,435","11,326","9,940","9,317","5,854"
B54,"10,466","9,640","9,197","8,590","5,308"
B57,"7,244","7,064","6,851","6,837","4,487"
B60,"9,906","9,443","8,364","8,166","5,283"
B61,"9,945","9,377","8,876","8,438","3,088"
B62,"7,882","7,292","6,841","6,762","4,007"
B63,"11,607","12,008","11,148","11,085","4,079"
B64,"5,732","5,273","5,442","5,472","3,299"
B65,"3,398","3,151","2,795","3,176","2,057"
B67,"4,504","4,511","4,441","4,618","1,527"
B68,"14,159","13,586","12,660","12,180","4,726"
B69,"4,225","4,308","4,134","4,323","1,398"
B70,"5,942","6,229","6,520","7,065","2,230"
B74,"4,225","3,911","3,598","3,330","2,074"
B82Lcl/SBS,"27,959","26,599","25,126","26,775","17,012"
B83,"8,281","7,795","7,024","6,631","4,112"
B84,595,548,544,514,274
Bx1/2,"36,487","33,374","30,134","27,559","16,429"
Bx3,"14,921","14,186","12,538","11,252","7,882"
Bx4,"11,411","9,904","9,043","8,370","5,321"
Bx5,"11,194","10,236","9,133","8,955","4,217"
Bx6Lcl/SBS,"23,800","22,896","22,824","21,699","14,177"
Bx7,"13,720","13,558","13,257","13,418","8,501"
Bx8,"7,282","6,918","6,356","6,248","3,126"
Bx9,"27,175","25,251","23,180","21,840","13,060"
Bx10,"11,266","10,858","10,358","9,937","5,618"
Bx11,"14,269","13,087","11,536","10,638","6,487"
Bx12Lcl/SBS,"48,124","46,104","42,377","40,260","23,937"
Bx13,"12,094","11,395","10,217","9,754","6,457"
Bx15,"28,156","25,145","21,777","20,579","12,286"
Bx16,"8,239","7,834","7,026","6,981","3,976"
Bx17,"10,219","9,391","8,187","7,316","4,287"
Bx18,"1,920","1,763","1,580","1,420",877
Bx19,"29,378","26,454","23,259","21,475","16,463"
Bx20,772,754,813,868,351
Bx21,"15,234","13,709","12,097","11,468","7,104"
Bx22,"14,690","13,680","12,391","11,628","5,995"
Bx24,754,787,771,804,500
Bx26,"7,988","7,507","6,743","6,728","4,089"
Bx27,"7,435","7,048","6,145","5,917","3,107"
Bx28/38,"15,750","14,448","13,124","12,294","7,839"
Bx29,"2,476","2,371","2,254","2,207","1,332"
Bx30,"9,680","8,995","7,973","7,754","5,058"
Bx31,"10,019","9,160","8,295","8,114","4,248"
Bx32,"6,809","6,351","5,746","5,414","3,437"
Bx33,"2,866","2,684","2,318","2,134","1,010"
Bx34,"4,268","4,011","3,408","3,325","1,949"
Bx35,"17,651","16,247","14,326","12,681","7,847"
Bx36,"30,474","27,786","24,736","21,875","14,492"
Bx39,"16,434","15,010","13,247","12,334","9,847"
Bx40/42,"25,454","22,789","19,995","18,835","12,781"
Bx41Lcl/SBS,"23,558","21,088","18,313","17,699","11,736"
Bx46,619,600,548,582,249
M1,"10,436","9,525","9,568","9,322","2,983"
M2,"9,275","8,762","8,504","8,446","3,033"
M3,"13,149","12,626","12,324","12,516","4,935"
M4,"16,235","14,898","14,905","15,189","5,074"
M5,"10,063","6,893","6,944","8,657","2,513"
M7,"12,905","12,048","12,190","10,806","3,663"
M8,"2,107","1,884","1,616","1,675",644
M9,"5,333","4,960","4,779","5,057","2,592"
M10,"6,874","6,386","6,083","5,184","1,841"
M11,"10,152","9,620","9,271","9,562","3,433"
M12,515,532,547,762,304
M14Lcl/SBS,"30,558","28,388","26,637","28,387","15,282"
M15Lcl/SBS,"44,797","43,343","44,725","46,087","25,399"
M20,"2,446","2,184","2,083","2,084","1,057"
M21,"1,402","1,397","1,421","1,410",577
M22,"2,732","2,521","2,201","2,151",970
M23SBS,"12,308","13,212","13,674","14,441","6,543"
M31,"9,995","8,847","8,932","9,254","3,063"
M34SBS,"14,901","15,130","14,824","15,587","7,433"
M35,"1,038",803,664,614,239
M42,"10,596","9,976","9,430","9,978","4,938"
M50,"2,785","2,650","2,445","2,620","1,099"
M57,"6,065","6,002","5,820","6,447","3,665"
M60SBS,"16,751","15,804","16,018","14,778","7,190"
M66,"11,195","8,442","8,161","8,643","4,174"
M72,"5,675","4,585","4,306","4,469","2,212"
M79SBS,"13,892","12,011","12,337","12,351","5,446"
M86SBS,"24,746","20,247","19,035","20,777","9,495"
M96,"15,034","13,995","13,637","13,918","4,961"
M98,"1,863","1,665","1,523","1,465",551
M100,"17,006","16,048","14,596","13,816","8,873"
M101,"24,275","22,434","22,642","22,398","13,864"
M102,"12,292","11,522","11,868","12,131","8,118"
M103,"9,786","8,834","8,979","9,489","5,675"
M104,"8,223","7,587","7,136","7,095","2,349"
M106,"2,476","2,303","2,183","2,177",748
M116,"10,296","9,589","9,071","8,943","3,324"
Q1,"4,381","4,218","4,161","4,012","2,098"
Q2,"5,722","5,550","5,320","5,211","2,937"
Q3,"9,684","9,425","8,709","8,252","4,951"
Q4,"9,242","9,037","8,645","8,640","5,146"
Q5,"11,728","11,313","10,844","10,883","6,810"
Q12,"11,099","10,792","10,162","9,486","3,820"
Q13,"8,516","8,165","7,421","7,369","4,054"
Q15,"5,876","5,805","5,692","5,660","2,921"
Q16,"4,054","4,001","3,917","4,127","1,846"
Q17,"17,224","15,932","15,475","15,634","7,744"
Q20,"14,192","14,577","13,838","13,629","7,403"
Q24,"8,512","8,175","7,373","7,046","4,873"
Q26,"1,466","1,535","1,375","1,412",498
Q27,"24,580","23,777","23,079","23,019","10,736"
Q28,"9,893","9,432","8,950","8,723","4,413"
Q30,"10,555","10,155","9,452","9,467","3,837"
Q31,"5,692","5,791","5,595","5,465","2,360"
Q32,"9,454","9,186","9,810","9,683","7,154"
Q36,"6,101","6,060","5,899","5,908","3,360"
Q42,"1,195","1,184","1,156","1,158",549
Q43,"14,853","14,295","13,434","13,325","7,393"
Q44SBS,"27,712","27,178","25,646","24,484","11,463"
Q46,"21,468","20,754","20,028","19,678","9,200"
Q48,"2,854","2,813","2,907","2,770","2,120"
Q54,"11,952","11,385","10,567","10,094","6,696"
Q55,"7,343","7,147","6,761","6,419","4,051"
Q56,"7,862","7,894","7,630","6,989","5,290"
Q58,"29,412","28,810","27,940","27,638","17,597"
Q59,"7,127","7,090","6,768","6,814","4,043"
Q76,"5,742","5,695","5,341","5,350","2,826"
Q77,"6,413","6,165","5,744","5,726","3,072"
Q83,"8,664","8,439","8,168","8,012","4,583"
Q84,"4,441","4,349","4,225","4,180","2,270"
Q85,"11,820","11,400","10,939","10,699","6,070"
Q88,"11,010","11,084","10,937","11,099","5,164"
S40/90,"4,629","4,378","4,072","4,460","3,184"
S42,914,883,828,764,335
S44/94,"7,016","6,527","5,928","5,736","3,315"
S46/96,"7,299","6,942","6,435","6,146","3,557"
S48/98,"7,702","7,346","6,700","6,411","3,897"
S51/81,"4,169","3,976","3,661","3,570","2,083"
S52,"3,450","3,412","3,119","3,017","1,821"
S53,"9,378","9,136","8,340","7,877","5,209"
S54,"1,315","1,114",944,971,536
S55,355,298,289,277,132
S56,515,486,448,451,209
S57,"1,436","1,349","1,183","1,155",759
S59,"3,592","3,397","3,065","2,969","1,833"
S61/91,"4,385","4,217","3,931","3,810","1,982"
S62/92,"4,431","4,212","3,821","3,654","1,965"
S66,"1,659","1,619","1,537","1,530",705
S74/84,"5,411","5,325","4,898","4,817","2,798"
S76/86,"4,617","4,331","3,849","3,848","2,363"
S78,"6,163","6,004","5,411","5,326","3,100"
S79SBS,"11,378","11,266","10,873","10,744","6,350"
S89,756,699,583,562,261
S93,"3,686","3,789","3,659","4,262","1,979"
